评论内容,商品ID
小时候读《笑傲江湖》也就看个热闹，不明白欲练神功必先自宫背后的映射，如今就业将近十年，在是是非非的工作当中才恍然大悟，其实葵花宝典并非什么难练的武功，只要横下心去自我阉割，舍了脸皮和尊严，没有什么得不到的。最难成就倒是令狐冲的独孤九剑，谁能耐住孤独在现实欲望的横冲直撞之下守住自己的精神家园，那才是真正的笑傲江湖。,1002299
以前最喜欢杨过，现在越来越喜欢令狐冲，那种越穷途末路越是满腔豪情的末日狂欢气质看着就过瘾。笑傲江湖最近几年看了几遍，某些段落都快会背了。,1002299
东方不败出场只9页啊啊啊！！！！！！！！！,1002299
写作时代是中国的文革，基本上里面所有人物都处在压抑与阴谋的阴影里，偶像崇拜，权利的斗争，人伦关系的沦丧。令狐冲最后看似逃离了一切，却也没有获得自由，个人心中金庸真正的五星作，讲中国人与社会的关系非常有深意的一部作品。看完的时候，我居然不禁在想chinese这个tag本身就是一种诅咒，本应该消亡的东西依旧挟持着我们的心灵，真是太可怕了,1002299
从前武侠读得太少，此次算是补课，断续看完，殊觉荡气回肠，爱不释手。书中的令狐冲不知是否金庸最喜欢的角色，在我看来，确是光明磊落，侠骨柔情，令人钦佩。此外女子如盈盈、仪琳、岳灵姗，男子如风清扬、方证大师、桃谷六仙等，都给人留下深刻的印象。东方不败、岳不群、任我行三人，都算得是一代枭雄，可惜收场有些草草。原是正邪势不两立的世界，到后来几乎掉了个头，可知善善恶恶并非那么简单。值得注意的是，这本小说还有寓意深刻的一面，说什么千秋万载、一统江湖，大概离政治专制不远，令狐冲的反对，颇有抗争的味道。大儒孟子说过“物之不齐，物之情也”的话，西哲罗素也主张“参差多态乃是幸福的本源”，东海西海，心理攸同，此在今日看来，尤觉意味深长。儒者以文乱法，侠者以武犯禁，殊途而同归，无非是为这浊世鸣不平罢了。筱堂记于望岳楼,1002299
一本读完，最打动我的是林平之了，也只有他的情节让我频频落泪。纨绔少年家破人亡，卑微艰难的活下去，忍辱负重，无法真正的去爱，无法获得爱。如果要摆脱这种命运，大概只能是被岳灵珊救了之后就隐姓埋名，忘记旧事。弃我去者昨日之日不可留，真正的把现在的每一天当做新生，前尘往事统统抛去，爱恨情仇皆成过往。没有执念，才能善待自己吧。,1002299
我认为《笑》是金庸最好的作品。,1002299
果然有着对文革中国的深恶。怎么说来张版电视剧其实是改得不错了，为了迎合观众心理势必要将结局变成落入俗套的大决战，尚算情有可原。只是真正笑傲江湖的便是金庸自己了，岳不群在封禅台上何等威风，却会被魔教的陷阱捉住还被逼服三尸脑神丹，最后死得这么狼狈，任我行自不必说，任你怎么行，世事轮回你逃不过。而将方证、冲虚一干人的嘴脸揭露出来也自是要破除读者的所有幻象，哪有什么节操高尚的武林泰山耆宿，要想在那个位置上坐稳，自然从里到外都必须是黑的，武当一派人才不济，所以冲虚只能唱白脸，方证是武林公推的大哥，他唱红脸，一个牢固的分工便建立起来了。金庸是追求隐的，大浪淘沙之下，明哲保身或许比弄潮更能显出“笑傲”的气度，只是真真退隐得了么？笑傲江湖即便是琴曲名，也该多画上一个问号的。,1002299
有我最爱的金庸笔下男女主角，还有心中金庸笔下最理想的恋爱,1002299
草菇、香菌、腐衣、莲子、豆腐做的清香甜美的粽子，不同的心境之下吃，滋味全然不同。,1002299
这本书对政治有所影射，是鹿鼎记之前金庸先生少有的对政治发表见解，文字情节都没话说，人物没什么特别喜欢的，只是对林平之深深叹惋，看着小林子一点点黑化真是很遗憾啊，酒楼笑骂余沧海一段，林与令狐二人相映生辉，可惜人家命好，他命苦啊，本来就没多少路好走，于是一步步被命运推向偏激无奈的结局，另外桃谷六仙实在是太糟糕了，倒不是描写差劲也不是不合情理，只是给后世的武侠写手提供了傻瓜数人组的mode，从此我们不得不忍受各种各样的傻瓜，奇怪的是，如此多的傻瓜中，从无一个阿甘样的傻的朝气蓬勃清新向上的，这也算中西文化差异？！,1002299
此书害的我连续一个多星期熬到四点才睡 看的人欲罢不能 只盼着快点知道接下来的剧情 然而终于看完的时候 又觉得好惆怅 能一直看下去不结束该多好。。就这么看完了。。还好是大团圆的结局 不然心脏真心受不了,1002299
这是值得推荐给每个人的书，因为我认同令狐冲几乎全部的价值观。从此金庸是我最崇拜的人之一：他真是上通天文、下晓地理，创造了这样博大的一个武侠世界，而且故事曲折精彩，蕴意深刻，人物形象丰满立体，性格迥异。一辈子写出来一部这样的作品我也要佩服，况且金庸写了14部！我也真爱令狐冲，他应该是“道家”思想的化身，喜爱自由自在，无忧无虑，而又有情有义，智勇双全，还那么幽默，简直就是我最羡慕最向往的那种人。几度落泪因为他对小师妹的苦恋、仪琳对他的痴情与盈盈为他的奋不顾身，尤其是仪琳最令我感动，也许因为令狐冲惟有对她是一点也不爱的。但我始终认为他对盈盈不是真的爱情，也许因为盈盈总太严肃客气冷淡，跟令狐冲一点不配。而结局，我猜并不是令狐冲想要的，他终究不自由了。唉，要是跟仪琳在一起多好…（正如作者说的）,1002299
兴酣落笔摇五岳，诗成笑傲凌沧洲。——太白诗中，尤物此句。我做一回索引派吧，有五岳，有笑傲，兴许金老爷子的书名，源出于斯。,1002299
这部作品已经超越了纯粹的武侠娱乐。,1002299
1.愈发觉得金庸的男主角没一个讨喜的，目前最让我能接受的应该是乔峰。令狐冲简直就是傻逼，很多细节不都显得就是个反复无常的蠢货&amp;小人么？2.这一本的观感因为令狐冲和桃谷六仙的废话连篇大大打折.3.岳不群和东方不败的人物设置我倒觉得很棒.4.所以任盈盈真的是女一么?还有这么对故事情节推动不重要的女一么?5.金庸的小说是不是每一部都会有一个非常神的神医，还总有些怪癖。然后男主角一定要变装一下？？,1002299
世间女子皆浮云，一生只爱小师妹,1002299
归寝不寐二日读罢，梦里有时。,1002299
4天5夜黑白颠倒看得鼻血都出来了才看完。没想到末尾淡淡的，竟有无限失落之感。,1002299
令狐冲手中拿着一只死蛙，连连摇晃，说道：“大侠二字，万万不敢当。天下哪有杀青蛙的大侠？”那姑娘笑道：“古时有屠狗英雄，今日岂可无杀蛙大侠？”——过于暴力,1002299
不太喜欢这一部，令狐冲太一根筋，女子的形象又都感觉比较单薄，任盈盈虽然灵还是不及心里的赵敏。唯一中意的角色就是为了喜欢的尼姑出家当和尚的不戒了。,1002299
觉得自己很不适合看武侠小说，虽然里面有些人物非常有趣，金庸的构想和文笔运用也十分圆融，但是在我看来作品就像是写给少年的极美读物，但转念一想却让人感到这种水油融合的顺畅却绝对是出自高手后期的笔法。看完整部作品也终于明白为什么金庸为什么这么喜欢任盈盈这个角色了。不过这个结尾总让人觉得略略粗糙了，任我行之死着实有点太突然了，只能说死得太是时候了。好吧只是太青春热气之感，不是我的喜好但确实是部极好的作品。,1002299
令狐沖最大的絕技便是在適當的時候暈到了...金先生口口聲聲說這是一部隱士的書，可是他書中的隱士都沾滿鮮血呀！,1002299
历时一月，终于读完，有温情有可怖，爱煞令狐大师兄,1002299
“想不到我任盈盈，竟也终身和一只大马猴锁在一起，再也分不开了。”,1002299
有人的地方就有江湖。,1002299
最喜欢的武侠小说之一，精神的强大是真正的强大。,1002299
我猜金庸最喜欢这一对男女主角,1002299
乌托邦小说~,1002299
好几天沉浸在读完以后的失落里,1002299
相较于其他几部，这部的刀光剑影不多、儿女情长不纠结，差不多算是个武侠童话，如此外包装下的政治体小说所言就必然深入不了。但是结局很光明，女主角也是很标准的讨人喜。一直在想一个问题，通俗小说写得巨细靡遗是不是好。太细了嫌啰嗦，但是写得不细又嫌轻浮。通而不俗是为上品。,1002299
硬伤的东西就不去讨论了，结尾草率了一些，但风清扬那套武学理论是全书的精华。其实主角被污蔑被陷害，不如去看《连城诀》。,1002299
金庸只这部最佳。,1002299
考虑当年的背景（文革），其实就是写政治（各种当年政治局的隐射，完全可以对号入座），写人性的阴暗险恶，武功完全就是工具而已。笑傲江湖一定要看书看原著，看电视剧实在读不出那种阴险。这部论人性的深刻，在金庸小说里，个人排第一。,1002299
呵呵，剑宗气宗，正教魔教，路线之争实际是权力之争，我是把它当党史来看的。,1002299
第N+1次复习。果然看到田伯光打碎别的酒所以送令狐冲的两坛就变金贵了，之前竟然不记得，可耻！,1002299
情深义重最催泪。,1002299
金庸的武侠里最喜欢还是这部。令狐冲自不必说，林平之却最是让人伤感。,1002299
如令狐冲的痴情重义，完全是自己的事，与世间仁义道德伪君子如何破口便骂浪荡不可教有什么关系，此间若能得数知己足矣。但每逢高潮，总觉戛然而止，大概是如金庸后记之中所提，写这些被武林权力熏心之人，实在是在写政治，而无论是左冷禅岳不群东方不败任我行，处心积虑，到头来死的都死在高潮正欲来到之际，因权力而迷狂，最终却在权力之前轻飘飘死去，寓意虽有，但斧凿之意过于明显。还有，真的好长。。,1002299
写的真特么太好了。初中连着看完了一套,1002299
武侠小说真是给男人看的“杰克苏”YY文，一点没说错。《笑傲江湖》里的女孩儿都是好的，可是竟然都是“意难平”，没有什么太好的结局。别人是看小师妹死最难过，我却是看宁中则死最难过。,1002299
我们喜欢令狐冲的自由，但他又可曾有一刻自由过？我讨厌他爱岳灵珊爱得痴，也讨厌他对名门正派信仰的一根筋，但这两件事对他的命运来说都是大福与大祸相依的。所以要说逍遥自在，最甚者我想可能还是桃谷六仙呢。所谓的政治影射其实是广义的，因为你总会不知不觉将身边的人对号入座，笑自己亦笑他人。“只要没有不当的欲求，就不会受不当的束缚”。总之，这部书读完倒是让人更清醒德认识当下了。,1002299
一把年纪居然才读金庸 ˙?˙ 不像一位作家后期的作品,1002299
好多映射的政治小说呀！,1002299
其实我在看的是电子书~~~,1002299
最爱的一部,1002299
曲终人未散,1002299
还是令狐冲吊儿郎当的死样子看着最顺眼。,1002299
操，总算看完。真正刻苦练功的牛逼人物死的乱七八糟，投机取巧的心里只有女色。结尾太！仓！促！了！吧！多写几笔风清扬会死啊！和尚尼姑心肠倒是真好。另，吕颂贤年纪太大了啦，不过最喜欢他了。,1002299
感觉不如《射雕》,1002299
20世界上最郁闷的事，是在图书馆饿得半死看完三本以后，发现第四本被人借走了；21看完，令狐冲在岳灵珊面前，真是不自由。不喜欢。,1002299
作为金庸的师妹，mark一本他的书吧。。。这也是我最爱的一本。。。,1002299
令狐冲 并不像想象中坦荡 纠缠的是感情 但那么久看不开是谁的错呢 潇洒自然是 英武自然是 善良自然是 也不怪能让江湖中人无不叹服 盈盈是真的好女孩 和令狐冲倒也是绝配 只是可惜了痴情的仪琳啊,1002299
金书第一，完密冷静。,1002299
貌似读的不全   但是哪册没读不记得了,1002299
只觉得品酒最精彩,1002299
什么时代都有变态,1002299
令狐冲要也自宫了，那天下就更乱了。更好玩了,1002299
原来令狐冲很帅..,1002299
只读了八分之一,1002299
厉害,1002299
大师珍本要重温。,1002299
66/100这本最乱套了 大家在江湖里跑来跑去的,1002299
红宝书,1002299
神作！连续看了六天六夜。一人一物，一招一式，一情一爱，一字一句，都好看。谜底一个个在不经意间埋下，又在不经意间解开。这是政治小说，也是文化小说，也是人性小说哇。,1002299
总有种读不到点子上的感觉。,1002299
玩豆瓣这么多年，居然忘了标记金大侠的书，该死该死！,1002299
金庸最佳,1002299
1：可怜我仪琳小师妹~；2：令狐冲真是上辈子积德遇到任盈盈；3：风清扬究竟是谁？！！！！！！！！！！！！！！,1002299
原来盈盈是个不到20岁羞涩的小姑娘啊~,1002299
好看！而且难得我还不讨厌男主！,1002299
终于看过了传说中的笑傲江湖,1002299
重温了一遍~,1002299
金庸武侠人物，最爱令狐冲任盈盈；沧海一笑，契阔天涯,1002299
读过第一本电子书,1002299
令狐冲一直在金庸的男猪脚里鹤立鸡群。我心里的金庸TOP 2。,1002299
试试腾讯微博的同步行不行,1002299
还好吧。军训时书贩进军营卖的盗版书，打发无聊时光正好。——读了鹿鼎记以后，对笑傲评价上升一级。,1002299
不过令狐的性格是我所不欣赏的,1002299
找黄亮借的,1002299
看完觉得东方不败岳不群左冷禅神马的都是浮云，我内心是极认同风清扬和令狐冲的，@毓然 说真正的高手都隐没在江湖之中啊。在人人皆想做英雄的乱世做一个淡出江湖的人其实是个好选择，或者在俗世插科打诨像桃谷六仙那样也不错。在积极自由和消极自由之间，我还是倒向了后者。另，岳灵珊死的那一段写得实在太断肠了，哭煞我也。现在想起她死前的那段话，还是心好痛啊。。。,1002299
重看了一遍，这次觉得很好,1002299
高一暑假，最后一本金庸,1002299
这个可以有！,1002299
深喜令狐衝，跳脫坦蕩。書中皆是好兒女，平白被功名耽誤的偽君子,1002299
任盈盈等杀人如麻情深似海的女魔头永远是我最爱,1002299
传统武侠小说的最高典范,1002299
令狐冲很投我脾气。活的真实，洒脱，自在。,1002299
高三看的，为此第三轮物理复习彻底完蛋……,1002299
其实看着令狐冲犹犹豫豫的特郁闷 而且一直都是一身伤,1002299
携你一曲啸江湖,1002299
太完美,1002299
我先看的许冠杰的笑傲江湖后来看的林青霞的东方不败才找的书看 这是我第二本武侠 话说 有点失望 因为电影里令狐冲是大侠 小说里令狐冲只是个普通武林人士,1002299
No.1 in my heart,1002299
其实我不是太喜欢它。,1002299
最喜欢的。,1002299
重读之下，仍是不甚喜欢，不光温习了种种细节，也温习了当年初读的种种所想所感。只是此番，却多了不少对定闲师太的崇敬～,1002299
唯一看过的一本金庸。,1002299
最不喜欢令狐冲,1002299
~,1002299
恩~~~~,1002299
我爱令狐冲,1002299
金庸的武侠都读过.(这有啥了不起?),1002299
不是最好的，却是最爱的,1002299
2006.11.14～11.16 阅,1002299
是其中我较无趣的作品~,1002299
武侠似乎是一种集体行为/回忆的很好的主题，而这本来应该可以由科普或科幻来代替的。,1002299
书快被我翻烂了，小学第一次读的吧，当时读时，前三十页有点坐不住，后来就放不下了！,1002299
最爱,1002299
金庸里最喜欢的，盈盈啊盈盈。,1002299
我认为这是金庸有内心表达转变的开始,1002299
金庸小说中最钟爱的一部。十七年前看的是盗版书，现在手头有一套袖珍本，还是大师兄特意买来请老先生签了大名的。,1002299
人生楷模令狐冲,1002299
如果我是令狐冲，会做同样的选择。,1002299
武侠 金庸,1002299
纯男人书。看令狐冲就行了。三个女角来来回回就是纯洁、娇羞、少女什么什么，就好像美少女战士们只有头发不一样。,1002299
我的最爱,1002299
老爷子笔下正邪之争，其实有点儿程序正义和实体正义的意思。以往老觉得金庸群侠，若说人品武功，盖过令狐冲的，没有八九个，也有那么五六个，可论起讨人喜欢，可都大大不如我冲哥啦，任情侠性，洒脱落拓，心中又存着师门大义，相互制肘、矛盾拷问中反而有真品格。但到底是失之轻浮跳脱，个人英雄主义至上，天大的事也不问缘由就掺和进去了。老爷子倒也从不写完人，刀之两面，仍是完全的，再少干涉些情节就更好了。开篇华山派师兄弟讲笑话胡闹的样子可真让人歆羡，老爷子笔下这样同门师兄情谊深重而平等欢喜的时候委实不多，那才是我们心目中的江湖子弟呀。有时也想着，岳不群要练辟邪剑法要做五岳盟主，就由他去做吧，又有什么大不了？真君子不可求，混世界的无非伪君子与真小人，比起真小人，我大概还是觉得大家戴起面具做伪君子好些,1002299
怂逼令狐冲。,1002299
第一部一字一句读完的金庸小说 过程中的淋漓畅快无法言喻 金庸老师写作的功力之深 起承转合的安排巧妙 对武功路数的奇思妙想 皆让人仰望,1002299
时代最不明显的金庸小说,1002299
现在重读比高中时看懂的更多了。以前只是被剧情吸引着读完，到了现在的年龄，才懂得欣赏令狐冲的洒脱，然而他又太重情义，直到最后一章，牵绊他的所有恩仇都淡去，他才能于这个险恶的江湖做到真正的出世,1002299
笑傲江湖之于天龙八部，恰似吸星大法之于北冥神功。不畅亦不快。,1002299
“令狐冲当情意紧缠在岳灵珊身上之时，是不得自由的。”,1002299
也是小学时看的，记得当时就着这本书听了飞儿的第一张专辑，还挺合适的。,1002299
反正觉得金庸真是直男,1002299
看书觉得没有电视剧磅礴气势阔大,1002299
补课。,1002299
最早读是在小学时候，如今想来是读早了，以致我一直以为《天龙八部》是金庸小说中的巅峰。书中对诸多人物的性格、权力之争、令狐冲的追求等的刻画，自是那时所不能理解的，如今重读才见金庸刻画之功力。,1002299
盈盈。一定是射手座。,1002299
每隔几年都要看一遍。,1002299
最爱,1002299
结局太仓促，史上少见的男一号和女二号在一起了的小说，其实仪琳努把力，说不定也成了。小师妹可惜，林平之可怜，东方不败可叹，没了。,1002299
自有风格,1002299
金庸作品最爱,1002299
释怀,1002299
想来这也是金庸所有作品里最喜欢的一部，领略过各种影音文字之后还是忍不住要读一读原文了。,1002299
看过的唯一一部金庸武侠,1002299
最好的金庸，只因有一个令狐冲。,1002299
几乎是唯一读过的武侠小数,1002299
关于爱与不爱，比武林更盛。,1002299
偽君子和真小人一樣可怕。,1002299
重读，伤心人别有怀抱。,1002299
前半部一个“奇”字，引人入胜，结尾有点草率了。,1002299
如果说《连城诀》呈现的是一种无政治的人性，《笑傲江湖》呈现的就是一种无人性的政治。就以道杀人这一点，岳不群和灭绝师太颇有共通之处。然而如令狐冲和任盈盈一般规避政治是否就能保全人性？阿伦特肯定不会这么想，平庸之恶乃是极恶的帮凶。四老在梅庄是中国式极权主义的起源吗？,1002299
沧海一声笑，滔滔两岸潮，浮沉随浪只记今朝；苍天笑，纷纷世上潮，谁负谁胜出天知晓。江山笑，烟雨遥，涛浪淘尽红尘俗事几多骄；清风笑，竟惹寂寥，豪情还剩了。一襟晚照，苍天笑，纷纷世上潮；谁负谁胜出天知晓。,1002299
没有特别喜欢的男性角色=。=任盈盈，仪琳不错~   看了好久，看完心情好舒畅~方证大师好棒，桃谷六仙很萌呀-w-,1002299
金庸绝对是个情场高手！,1002299
前面中间都太精彩 以至于最后看得有点失望...令狐冲和任盈盈的对比太强烈了 一个是身在正教但不拘礼节 一个是身在邪教却是各种礼数...算了 盈盈还是女神,1002299
初中看的时候不太喜欢,1002299
再看，不像以前那样觉得精妙了，不过仍然是很出色的,1002299
原来大决战不是在黑木崖原来岳不群死的那么窝囊。央视版笑傲江湖误我！,1002299
一口气看完后，怅然若失。令狐冲心中最爱的始终都是岳灵姗罢！岳灵姗实在蠢极，看得我好气，令狐冲能遇上任盈盈真是他的福气。岳不群这种伪君子，满口仁义道德，听得人烦死，虚伪做作阴狠毒辣，还不如左冷禅这样的真小人！江湖中，人命真是不值钱，杀人仿佛切菜，这腥风血雨的江湖，实在可怕！,1002299
重读，看到桃谷六仙真是欢喜。虽然说是“笑傲江湖”，但令狐冲的遭遇之惨跟狄云有的一拼。,1002299
我家曲非烟，我的曲爷爷和刘叔叔……,1002299
“几乎所有人都可以忍受不幸，但要试出一个人的真品格，给他权力。”这本小说诞生于六七暴动之时，令书中反讽又增添了时代感。令狐冲的经历应该可以反映不少金庸先生当年作为明报创办人的种种心路历程吧。,1002299
32 竟然补起了金庸……原来令狐冲是个大赖皮阿怪不得小懒喜欢他哈哈哈,1002299
金庸很喜欢这种放浪不羁的英雄人物，不拘泥于世俗的规定，最后甚至让令狐冲当了恒山派掌门，整天带着一群小尼姑。英雄最后选择的美人还是无论何时都最爱他，为他付出的任盈盈，而不是自己心爱的小师妹。,1002299
少时迷恋的武侠岁月,1002299
一直不被我喜欢，不知道为什么,1002299
金庸先生的著作里，最喜读这本，潇洒。读多遍也不厌烦。,1002299
令狐冲是最符合我心目中关于大侠的定义的，岳不群是个让人回味无穷的人物啊,1002299
重看了一遍，坚定了一个看法，金庸的小说真是俗不可耐，倒也配广大读者群,1002299
整册看下来，最喜欢的倒是桃谷六仙，每次出场都欢喜热闹。任盈盈太完美，岳灵珊太苦情，令狐冲遇到无数苦难诬陷每每都是他的潇洒坦荡救了他。从此金庸先生脑残粉。,1002299
《笑傲江湖》的主旨是“出世”，与《鹿鼎记》明显的“入世”思想不同，刘正风曲洋也好，令狐冲任盈盈也罢，他们无非想远离纷扰，纵酒狂歌，弹琴吹萧，品剑论曲，如嵇康临刑前仍弹一曲《广陵散》，笑傲江湖快意恩仇，却身不由主卷入血雨腥风。金庸明显借小说向古时“建安七子”致敬，可改编剧越来越抓不住重点，堂堂一本经典竟面目全非，终于演变成一出狗血洒遍三观尽毁的无脑三角恋偶像剧，而在这三角恋的任何一方，原本应该是女二号的岳灵珊连个影都没碰到。不知金老先生看到比任盈盈还美貌十倍的东方不败姑娘，会作何感想。,1002299
万物来朝，哈哈,1002299
追求自由还是权力？追逐权力很可能被熏昏了头脑，追求自由却难以摆脱自身的束缚。这应该就是人性。,1002299
顯然不是這一版但是找不到我讀的那一版了，有可能還是盜版＝ ＝,1002299
令狐冲就是一朵白莲花......从救向问天处就开始各种三观不正...,1002299
书里的江湖小而全，只是前半段的铺垫却没有在后半段淋漓精致的展开。书里盈盈人物形象很单薄，远不如赵敏和射雕里的黄蓉的。,1002299
武侠也不失为一种归宿啊,1002299
