2000年词	2000年频次	2001年词	2001年频次	2002年词	2002年频次	2003年词	2003年频次	2004年词	2004年频次	2005年词	2005年频次	2006年词	2006年频次	2007年词	2007年频次	2008年词	2008年频次	2009年词	2009年频次	2010年词	2010年频次	2011年词	2011年频次	2012年词	2012年频次	2013年词	2013年频次	2014年词	2014年频次	2015年词	2015年频次
electronic_commerce	18	e-commerce	13	electronic_commerce	20	e-commerce	13	e-commerce	22	e-commerce	15	e-commerce	9	e-commerce	23	e-commerce	11	trust	6	e-commerce	14	e-commerce	14	e-commerce	16	social_media	13	e-commerce	12	e-commerce	13
e-commerce	10	electronic_commerce	9	e-commerce	9	electronic_commerce	12	electronic_commerce	19	electronic_commerce	14	electronic_commerce	8	electronic_commerce	15	electronic_commerce	9	e-commerce	6	trust	13	trust	7	trust	9	e-commerce	12	social_media	10	trust	9
intelligent_agents	6	personalization	4	internet	6	web_services	8	security	6	adoption	6	mobile_commerce	7	china	6	economic_analysis	4	electronic_commerce	5	electronic_commerce	6	auctions	5	online_shopping	5	social_commerce	9	trust	8	electronic_commerce	9
trust	4	security	3	b2b	4	trust	8	trust	6	internet	5	e‐business	5	semantic_web	5	electronic_markets	4	service_quality	5	online_auction	5	social_media	5	perceived_risk	5	electronic_commerce	5	online_shopping	5	social_media	7
electronic_markets	4	electronic_markets	3	financial_services	4	internet	7	software_agents	6	supply-chain_management	4	security	5	trust	5	click_fraud	4	personalization	4	satisfaction	5	rfid	5	mobile_commerce	4	structural_equation_modeling	4	social_networks	5	personalization	7
virtual_communities	4	consumer_behavior	3	trust	4	e-business	5	web_services	5	trust	4	electronic_markets	5	technology_acceptance_model	5	trust	4	recommender_systems	4	economic_analysis	5	empirical_research	5	electronic_commerce	4	knowledge_management	4	online_reviews	4	privacy	6
software_agents	4	internet	3	procurement	4	simulation	4	mobile_commerce	5	supply_chain_management	4	trust	4	security	5	on-line_advertising	4	loyalty	3	online_auctions	5	internet	4	reputation	4	purchase_intention	4	privacy	4	cloud_computing	6
auctions	3	business_models	3	electronic_markets	4	perceived_risk	4	internet	5	performance	4	web_services	4	internet	4	mobile_payments	4	supply_chain_management	3	security	5	technology_adoption	4	internet	4	online_shopping	4	security	4	pricing	4
knowledge_management	3	dynamic_pricing	3	customer_relationship_management_(crm)	3	multi-agent_systems	4	e-business	5	auctions	3	personalization	4	e-government	4	personalization	3	second_life	3	auctions	4	e-business	4	mechanism_design	4	social_networks	4	social_network	4	digital_service_innovation	4
marketing	3	electronic_data_interchange	3	electronic_marketplaces	3	software_agents	3	developing_countries	4	economic_analysis	3	e‐commerce	4	online_auction	4	cryptography	3	consumer_behavior	3	service_science	4	electronic_commerce	4	empirical_research	4	trust	4	user-generated_content	3	m-commerce	4
internet	2	simulation	3	supply_chain_management	3	dynamic_pricing	3	privacy	4	xml	3	online_communities	3	web_services	4	standards	3	technology_adoption	3	reputation	4	collaborative_filtering	4	microfinance	4	smartphone	3	e-tail	3	e-tail	3
e-business	2	information_goods	2	strategy	3	b2b_e-commerce	3	semantic_web	4	privacy	3	smes	3	online_auctions	3	auctions	3	rfid	3	electronic_markets	4	virtual_worlds	3	mobile_banking	4	satisfaction	3	satisfaction	3	mobile_payment	3
intermediation	2	fairness	2	mobile_commerce	3	supply_chain_management	3	supply_chain_management	4	mobile_commerce	3	e-banking	3	price_dispersion	3	second_life	3	trading_agent_competition	3	social_network	4	literature_review	3	online_auctions	4	china	3	online_advertising	3	ewom	3
online_communities	2	profitability	2	m-commerce	3	internet_shopping	3	electronic_markets	3	e‐commerce	3	privacy	3	privacy	3	technology_adoption	3	clustering	3	perceived_risk	4	design_science_research	3	literature_review	3	mobile_health	3	sponsored_search	3	big_data	3
supply_chain_management	2	electronic_negotiation	2	diffusion	3	negotiation	3	matchmaking	3	online_auctions	3	virtual_communities	3	collaborative_filtering	3	electronic_word-of-mouth	3	electronic_markets	2	critical_mass	4	recommender_systems	3	social_network	3	experiment	3	perceived_risk	3	mobile_payments	3
africa	2	intelligent_agents	2	software_agents	3	sme	2	china	3	security	3	xml	3	electronic_cash	3	consumer_behavior	3	attitude	2	evaluation	3	online_community	3	repurchase_intention	3	mobile_commerce	3	cloud_computing	3	case_study	3
online_shopping	2	trust	2	e-government	3	market_structure	2	xml	2	e‐business	2	ontology	3	adoption	3	supply_chain_management	3	event_study	2	motivation	3	data_quality	3	consumer_behavior	3	economic_analysis	3	consumer_behavior	3	social_network	3
decision_making	2	business_model	2	personalization	3	perceived_usefulness	2	supply_chain_integration	2	structural_equation_modeling	2	knowledge_management	3	tam	3	virtual_worlds	3	e_commerce	2	social_networks	3	online_advertising	3	customer_satisfaction	3	twitter	3	sentiment_analysis	2	electronic_word-of-mouth	3
security	2	planning	2	b2b_e-commerce	3	multiagent_systems	2	game_theory	2	automated_negotiation	2	e-business	2	internet_retailing	2	online_marketing	3	open_source_software_(oss)	2	services	3	mobile_commerce	3	economic_analysis	3	e-loyalty	3	source_credibility	2	e-government	3
deontic_logic	2	software_agents	2	taxonomy	2	security	2	online_auctions	2	organizational_performance	2	consumer_behavior	2	cryptography	2	online_consumer_reviews	3	marketing	2	comparison_shopping	3	data_mining	3	word_of_mouth	3	empirical_research	3	e_tail	2	experience	3
