supply_chain_integration,e_tail,taxonomy,electronic_marketplaces,attitude,planning,fairness,smes,purchase_intention,xml,perceived_risk,multiagent_systems,web_services,adoption,supply-chain_management,cloud_computing,diffusion,intermediation,smartphone,user-generated_content,cryptography,software_agents,electronic_commerce,recommender_systems,online_community,deontic_logic,business_model,e-loyalty,internet_retailing,standards,literature_review,matchmaking,social_media,semantic_web,security,online_communities,twitter,dynamic_pricing,pricing,personalization,structural_equation_modeling,knowledge_management,consumer_behavior,service_quality,profitability,on-line_advertising,mechanism_design,experiment,trading_agent_competition,internet,technology_acceptance_model,sme,evaluation,click_fraud,electronic_markets,marketing,collaborative_filtering,mobile_health,critical_mass,china,ontology,ewom,b2b,electronic_negotiation,b2b_e-commerce,economic_analysis,electronic_cash,sponsored_search,experience,simulation,auctions,e-government,negotiation,microfinance,e-business,comparison_shopping,customer_satisfaction,e‐business,africa,motivation,e-tail,satisfaction,decision_making,intelligent_agents,trust,clustering,privacy,strategy,electronic_data_interchange,empirical_research,e‐commerce,repurchase_intention,automated_negotiation,online_shopping,information_goods,game_theory,multi-agent_systems,financial_services,customer_relationship_management_(crm),online_advertising,developing_countries,online_reviews,design_science_research,case_study,electronic_word-of-mouth,business_models,online_consumer_reviews,social_networks,supply_chain_management,mobile_commerce,perceived_usefulness,virtual_worlds,price_dispersion,market_structure,virtual_communities,open_source_software_(oss),source_credibility,mobile_banking,word_of_mouth,tam,online_marketing,social_commerce,service_science,e-commerce,sentiment_analysis,data_mining,event_study,e_commerce,mobile_payments,performance,online_auction,organizational_performance,rfid,loyalty,social_network,second_life,big_data,mobile_payment,services,m-commerce,online_auctions,e-banking,internet_shopping,technology_adoption,procurement,reputation,digital_service_innovation,data_quality
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,18,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,3,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,15,0,0,0,0,0,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0
